codeCourse,name,credit,affiliation,type,courseYear
03654112,ThaiHerbsandtheirBenefits,3,คณะวิทยาศาสตร์ศรีราชา,Wellness,64
03654113,PhysicalActivitiesforModernLife,3,คณะวิทยาศาสตร์ศรีราชา,Wellness,64
03654114,MobileApplicationsforModernLife,3,คณะวิทยาศาสตร์ศรีราชา,Wellness,64
04101201,LifestyleofSufficiencyEconomy,3,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,Wellness,64
04355181,LeisureActivityforHealth,3,คณะวิทยาการจัดการ,Wellness,64
01005101,ModernAgriculturalTechnology,3,คณะเกษตร,Entrepreneurship,64
01101101,GeneralEconomicsinGlobalization,3,คณะเศรษฐศาสตร์,Entrepreneurship,64
01131111,FinanceforEntrepreneurs,3,คณะบริหารธุรกิจ,Entrepreneurship,64
01132101,ModernEntrepreneur,3,คณะบริหารธุรกิจ,Entrepreneurship,64
01177141,KnowledgeAcquisition,3,คณะศึกษาศาสตร์,Entrepreneurship,64
01200101,InnovativeThinking,3,คณะวิศวกรรมศาสตร์,Entrepreneurship,64
01242001,DesignandBusinessofCreativeProducts,3,คณะสถาปัตยกรรมศาสตร์,Entrepreneurship,64
01387105,BuddhistEthicsofBusinessOperations,3,คณะมนุษยศาสตร์,Entrepreneurship,64
01390104,PersonalityDevelopmentforModernEntrepreneur,3,คณะมนุษยศาสตร์,Entrepreneurship,64
01418102,InformationTechnologyforEntrepreneurs,3,คณะวิทยาศาสตร์,Entrepreneurship,64
01453103,LawsforNewEntrepreneur,3,คณะสังคมศาสตร์,Entrepreneurship,64
01999041,EconomicsforBetterLiving,3,วิทยาลัยบูรณาการศาสตร์,Entrepreneurship,64
01999043,CreativityforValueManagement,3,วิทยาลัยบูรณาการศาสตร์,Entrepreneurship,64
01999112,CircularEconomyConceptforSustainability,3,วิทยาลัยบูรณาการศาสตร์,Entrepreneurship,64
02714101,CriticalThinkingandProblemSolving,3,คณะศิลปศาสตร์และวิทยาศาสตร์,Entrepreneurship,64
02721121,BusinessManagementforSocialSustainability,3,คณะศิลปศาสตร์และวิทยาศาสตร์,Entrepreneurship,64
03600014,CreativeProblemSolvingandCriticalThinkingSkills,3,คณะวิศวกรรมศาสตร์ศรีราชา,Entrepreneurship,64
03757123,MathematicsforBusiness,3,คณะวิทยาการจัดการ,Entrepreneurship,64
01361101,IntroductoryThaiUsage,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01361102,ThaiPracticalWriting,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01361103,ThaiCriticalReading,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01999021,ThaiLanguageforCommunication,3,วิทยาลัยบูรณาการศาสตร์,LanguageandCommunication,64
01999022,ThaiLanguageinCulturalContextforForeigners,3,วิทยาลัยบูรณาการศาสตร์,LanguageandCommunication,64
02701011,ThaiUsageforBusinessSciencesandTechnology,3,คณะศิลปศาสตร์และวิทยาศาสตร์,LanguageandCommunication,64
01354101,CommunicativeKhmerI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01354102,CommunicativeKhmerII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01354103,CommunicativeKhmerIII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355101,EnglishforEverydayLife,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355102,EnglishforUniversityLife,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355103,EnglishforJobOpportunities,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355104,EnglishforPre-medicalStudentsI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355105,EnglishforPre-medicalStudentsII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355106,CommunicativeEnglishinMedicine,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355107,EssentialEnglishWritingSkills,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355108,EnglishandCulturethroughSongs,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355109,EssentialEnglishListening-SpeakingSkills,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355112,FoundationEnglishII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355119,EssentialEnglishReadingSkills,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355121,EnglishWordsandPronunciation,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355201,CriticalReadingandWritinginEnglish,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355202,ReportWritinginEnglish,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355203,EnglishLanguageStructure,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355204,ProjectPresentationSkillsinEnglish,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355205,ReadingforMassCommunicationinEnglish,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355206,AcademicEnglish,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355207,EnglishCorrespondence,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355208,EnglishSkillDevelopmentthroughGames,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355209,CommunicativeEnglishforCareers,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355303,EnglishforEmployment,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01355307,IntegratedEnglishLanguageSkillsforCommunication,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01356101,ElementaryFrenchI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01356102,ElementaryFrenchII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01356103,ElementaryFrenchIII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01356104,ElementaryFrenchIV,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01357101,ElementaryGermanI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01357102,ElementaryGermanII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01357103,ElementaryGermanIII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01357104,ElementaryGermanIV,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01358101,ElementaryJapaneseI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01358102,ElementaryJapaneseII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01358103,ElementaryJapaneseIII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01358104,ระหว่างภาคต้นปีการศึกษา2564-ภาคปลายปีการศึกษา2566,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01362101,ChineseI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01362102,ChineseII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01362201,ChineseIII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01362202,ChineseIV,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01362301,ChineseV,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01395101,CommunicativeKoreanI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01395102,CommunicativeKoreanII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01395103,CommunicativeKoreanIII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01395104,CommunicativeKoreanIV,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01395105,KoreanReadingandOralReport,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01399101,CommunicativeVietnameseI,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01399102,CommunicativeVietnameseII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01399103,CommunicativeVietnameseIII,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01399104,CommunicativeVietnameseIV,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01399105,VietnameseReading,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
01399106,VietnameseListeningandSpeaking,3,คณะมนุษยศาสตร์,LanguageandCommunication,64
02724011,InterculturalCommunication,3,คณะศิลปศาสตร์และวิทยาศาสตร์,LanguageandCommunication,64
03754221,BasicEnglishPronunciation,3,คณะวิทยาการจัดการ,LanguageandCommunication,64
03754231,EnglishReadinginDailylife,3,คณะวิทยาการจัดการ,LanguageandCommunication,64
03754241,EnglishGrammaticalStructure,3,คณะวิทยาการจัดการ,LanguageandCommunication,64
03754251,EnglishParagraphWriting,3,คณะวิทยาการจัดการ,LanguageandCommunication,64
03754271,EnglishforCareers,3,คณะวิทยาการจัดการ,LanguageandCommunication,64
01371111,InformationMediaforLearning,1,คณะมนุษยศาสตร์,LanguageandCommunication,64
01418101,ComputerApplications,1,คณะวิทยาศาสตร์,LanguageandCommunication,64
01418104,ITUpdates,2,คณะวิทยาศาสตร์,LanguageandCommunication,64
01418106,DigitalTechnologySkills,3,คณะวิทยาศาสตร์,LanguageandCommunication,64
01999023,DigitalLiteracy,2,วิทยาลัยบูรณาการศาสตร์,LanguageandCommunication,64
03600013,EssentialComputerToolsandSkills,1,คณะวิศวกรรมศาสตร์ศรีราชา,LanguageandCommunication,64
03752111,InformationResourcesforResearch,1,คณะวิทยาการจัดการ,LanguageandCommunication,64
01999111,KnowledgeoftheLand,2,วิทยาลัยบูรณาการศาสตร์,ThaiCitizenandGlobalCitizen,64
01001317,LeadersandAgriculturalSectorsDevelopment,3,คณะเกษตร,ThaiCitizenandGlobalCitizen,64
01009102,HumansandNaturalResources,3,คณะเกษตร,ThaiCitizenandGlobalCitizen,64
01015202,ThaiLivelihoodAgriculture,3,คณะเกษตร,ThaiCitizenandGlobalCitizen,64
01301101,ResourcesandEnvironmentalConservation,3,คณะวนศาสตร์,ThaiCitizenandGlobalCitizen,64
01350104,ArtofReadingPeople,3,คณะมนุษยศาสตร์,ThaiCitizenandGlobalCitizen,64
01390102,CreativeTourism,3,คณะมนุษยศาสตร์,ThaiCitizenandGlobalCitizen,64
01453101,FundamentalRights,3,คณะสังคมศาสตร์,ThaiCitizenandGlobalCitizen,64
01455101,GlobalPoliticsinDailyLife,3,คณะสังคมศาสตร์,ThaiCitizenandGlobalCitizen,64
01460101,ContemporaryThaiSocietyandCulture,3,คณะสังคมศาสตร์,ThaiCitizenandGlobalCitizen,64
01999013,DigitalCitizens,3,วิทยาลัยบูรณาการศาสตร์,ThaiCitizenandGlobalCitizen,64
01999031,TheHeritageofWorldCivilizations,3,วิทยาลัยบูรณาการศาสตร์,ThaiCitizenandGlobalCitizen,64
01999032,ThaiStudies,3,วิทยาลัยบูรณาการศาสตร์,ThaiCitizenandGlobalCitizen,64
01999046,NationalSecurityDevelopment,3,วิทยาลัยบูรณาการศาสตร์,ThaiCitizenandGlobalCitizen,64
01999047,MilitaryforCountryDevelopment,3,วิทยาลัยบูรณาการศาสตร์,ThaiCitizenandGlobalCitizen,64
01999141,ManandSociety,3,วิทยาลัยบูรณาการศาสตร์,ThaiCitizenandGlobalCitizen,64
02717112,ContemporaryThaiPolitics,3,คณะศิลปศาสตร์และวิทยาศาสตร์,ThaiCitizenandGlobalCitizen,64
02999042,StudentsDevelopment,3,โครงการบูรณาการวิทยาเขตกำแพงแสน,ThaiCitizenandGlobalCitizen,64
02999144,LifeSkillsForUndergraduateStudent,1,โครงการบูรณาการวิทยาเขตกำแพงแสน,ThaiCitizenandGlobalCitizen,64
02999147,TheThaiASEANDynamics,3,โครงการบูรณาการวิทยาเขตกำแพงแสน,ThaiCitizenandGlobalCitizen,64
03751111,ManandEnvironment,3,คณะวิทยาการจัดการ,ThaiCitizenandGlobalCitizen,64
03751112,SocialandPolitics,3,คณะวิทยาการจัดการ,ThaiCitizenandGlobalCitizen,64
04101302,VolunteerSpiritforCommunityDevelopment,3,คณะทรัพยากรธรรมชาติและอุตสาหกรรมเกษตร,ThaiCitizenandGlobalCitizen,64
01007101,HorticultureforlifeQualityandEnvironment,2,คณะเกษตร,Aesthetics,64
01240011,DesigninEverydayLife,3,คณะสถาปัตยกรรมศาสตร์,Aesthetics,64
01244101,DesignforWell-being,3,คณะสถาปัตยกรรมศาสตร์,Aesthetics,64
01255101,ManandSea,3,คณะประมง,Aesthetics,64
01308101,SustainableNature-basedTourism,3,คณะวนศาสตร์,Aesthetics,64
01350102,VisualStorytelling,3,คณะมนุษยศาสตร์,Aesthetics,64
01387102,PhilosophyforNewLife,3,คณะมนุษยศาสตร์,Aesthetics,64
01401201,PlantsforValueofLifeCreation,3,คณะวิทยาศาสตร์,Aesthetics,64
01418105,DigitalCreativeArts,3,คณะวิทยาศาสตร์,Aesthetics,64
01420201,GemsandJewelry,3,คณะวิทยาศาสตร์,Aesthetics,64
01999034,ArtPerception,3,วิทยาลัยบูรณาการศาสตร์,Aesthetics,64
01999035,MusicCultureinLife,3,วิทยาลัยบูรณาการศาสตร์,Aesthetics,64
02708102,LiteratureandScience,3,คณะศิลปศาสตร์และวิทยาศาสตร์,Aesthetics,64
02999037,AtrsofAestheticsforHappiness,3,โครงการบูรณาการวิทยาเขตกำแพงแสน,Aesthetics,64
03600012,GreenTechnology,3,คณะวิศวกรรมศาสตร์ศรีราชา,Aesthetics,64
01385362,SouthernThaiFolkMusic,3,คณะมนุษยศาสตร์,Aesthetics,64
01385223,EvolutionofThaicountrysongs,3,คณะมนุษยศาสตร์,Aesthetics,64
01385262,NortheasternThaiFolkMusic,3,คณะมนุษยศาสตร์,Aesthetics,64
01385263,NorthernThaiFolkMusicSkills,3,คณะมนุษยศาสตร์,Aesthetics,64
01385261,NorthernThaiFolkMusic,3,คณะมนุษยศาสตร์,Aesthetics,64
03654111,AestheticsofSport,3,คณะวิทยาศาสตร์ศรีราชา,Aesthetics,64
